,location,city,country,utc,weekday,local,parameter,value,unit,latitude,longitude,attribution
49,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-14T17:45:00Z,1,2020-06-14T23:15:00+05:30,o3,17.4,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
50,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-14T14:45:00Z,1,2020-06-14T20:15:00+05:30,o3,18.01,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
51,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-14T06:45:00Z,1,2020-06-14T12:15:00+05:30,o3,14.9,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
52,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-13T07:45:00Z,7,2020-06-13T13:15:00+05:30,o3,12.94,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
53,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-13T07:00:00Z,7,2020-06-13T12:30:00+05:30,o3,13.05,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
54,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-12T23:00:00Z,7,2020-06-13T04:30:00+05:30,o3,14.21,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
55,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-12T18:15:00Z,6,2020-06-12T23:45:00+05:30,o3,14.03,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
56,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-12T01:30:00Z,6,2020-06-12T07:00:00+05:30,o3,14.15,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
57,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-12T00:15:00Z,6,2020-06-12T05:45:00+05:30,o3,14.21,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
58,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-11T17:00:00Z,5,2020-06-11T22:30:00+05:30,o3,14.09,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
